int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
794,Random,Firefly Algorithm,Sourced,30,10,4,5,8,5000,0.5,1.00041333333333,103.666666666667
797,Random,Firefly Algorithm,Sourced,30,20,1,5,8,5000,0.5,1.00061333333333,34.1578947368421
800,Random,Firefly Algorithm,Sourced,30,30,5,5,8,5000,0.5,1.00026666666667,34.76
803,Random,Firefly Algorithm,Sourced,30,40,6,5,8,5000,0.5,1.00040666666667,31.5588235294118
26,Random,Random,Sourced,10,10,0,3,5,5000,0.5,0.36872,39.5
29,Random,Random,Sourced,10,20,0,3,5,5000,0.5,0.5841,31.7
32,Random,Random,Sourced,10,30,0,3,5,5000,0.5,0.70534,25.4333333333333
35,Random,Random,Sourced,10,40,1,3,5,5000,0.5,1.0002,14.3333333333333
98,Random,Random,Sourced,20,10,0,3,5,5000,0.5,0.59352,64.8
101,Random,Random,Sourced,20,20,0,3,5,5000,0.5,0.22945,12.5
104,Random,Random,Sourced,20,30,0,3,5,5000,0.5,0.29154,10.5333333333333
107,Random,Random,Sourced,20,40,0,3,5,5000,0.5,0.3205,8.7
170,Random,Random,Sourced,30,10,0,3,5,5000,0.5,0.16366,17.8
173,Random,Random,Sourced,30,20,0,3,5,5000,0.5,0.21946,11.85
176,Random,Random,Sourced,30,30,0,3,5,5000,0.5,0.2479,8.96666666666667
179,Random,Random,Sourced,30,40,0,3,5,5000,0.5,0.233813333333333,6.35
242,Random,Random,Sourced,10,10,0,3,8,5000,0.5,0.74718,81.5
245,Random,Random,Sourced,10,20,3,3,8,5000,0.5,1.00076,57.0588235294118
248,Random,Random,Sourced,10,30,3,3,8,5000,0.5,1.00064,39.8888888888889
251,Random,Random,Sourced,10,40,8,3,8,5000,0.5,1.0008,29.15625
314,Random,Random,Sourced,20,10,0,3,8,5000,0.5,0.75954,82.5
317,Random,Random,Sourced,20,20,0,3,8,5000,0.5,0.68212,37.1
320,Random,Random,Sourced,20,30,4,3,8,5000,0.5,1.00008,39.6538461538462
323,Random,Random,Sourced,20,40,1,3,8,5000,0.5,1.00005,18.4871794871795
386,Random,Random,Sourced,30,10,0,3,8,5000,0.5,0.234626666666667,25.5
389,Random,Random,Sourced,30,20,0,3,8,5000,0.5,0.61622,33.6
392,Random,Random,Sourced,30,30,0,3,8,5000,0.5,0.80228,29.0666666666667
395,Random,Random,Sourced,30,40,0,3,8,5000,0.5,0.618146666666667,16.775
458,Random,Random,Sourced,10,10,2,5,5,5000,0.5,1.00016,112.875
461,Random,Random,Sourced,10,20,4,5,5,5000,0.5,1.00084,47.125
464,Random,Random,Sourced,10,30,3,5,5,5000,0.5,1.00044,40.1481481481481
467,Random,Random,Sourced,10,40,8,5,5,5000,0.5,1.00008,31.84375
530,Random,Random,Sourced,20,10,0,5,5,5000,0.5,0.61747,67
533,Random,Random,Sourced,20,20,0,5,5,5000,0.5,0.84741,46.2
536,Random,Random,Sourced,20,30,0,5,5,5000,0.5,0.69366,25.0666666666667
539,Random,Random,Sourced,20,40,2,5,5,5000,0.5,1.00049,25.7368421052632
602,Random,Random,Sourced,30,10,0,5,5,5000,0.5,0.824233333333333,89.7
605,Random,Random,Sourced,30,20,0,5,5,5000,0.5,0.80348,43.7
608,Random,Random,Sourced,30,30,0,5,5,5000,0.5,0.594546666666667,21.5666666666667
611,Random,Random,Sourced,30,40,0,5,5,5000,0.5,0.849833333333334,23.1
674,Random,Random,Sourced,10,10,5,5,8,5000,0.5,1.00084,142.4
677,Random,Random,Sourced,10,20,10,5,8,5000,0.5,1.00052,93.6
680,Random,Random,Sourced,10,30,13,5,8,5000,0.5,1.00052,52.1764705882353
683,Random,Random,Sourced,10,40,17,5,8,5000,0.5,1.0004,40.3478260869565
746,Random,Random,Sourced,20,10,2,5,8,5000,0.5,1.00085,134.125
749,Random,Random,Sourced,20,20,3,5,8,5000,0.5,1.00068,61.0588235294118
752,Random,Random,Sourced,20,30,8,5,8,5000,0.5,1.00003,46.9090909090909
755,Random,Random,Sourced,20,40,9,5,8,5000,0.5,1.00016,34.258064516129
818,Random,Random,Sourced,30,10,1,5,8,5000,0.5,1.00011333333333,107.444444444444
821,Random,Random,Sourced,30,20,2,5,8,5000,0.5,1.00033333333333,51.3888888888889
824,Random,Random,Sourced,30,30,1,5,8,5000,0.5,1.00096,27.448275862069
827,Random,Random,Sourced,30,40,4,5,8,5000,0.5,1.00061333333333,29.8055555555556
