int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
387,Random,Random,Static,30,20,0,3,8,5000,0.5,0.529646666666667,28.75
390,Random,Random,Static,30,30,0,3,8,5000,0.5,0.63774,23.0666666666667
393,Random,Random,Static,30,40,0,3,8,5000,0.5,0.614366666666667,16.7
456,Random,Random,Static,10,10,3,5,5,5000,0.5,1.00024,149
459,Random,Random,Static,10,20,11,5,5,5000,0.5,1.00008,104.777777777778
462,Random,Random,Static,10,30,13,5,5,5000,0.5,1.00064,59.4117647058824
465,Random,Random,Static,10,40,21,5,5,5000,0.5,1.00012,55.1052631578947
528,Random,Random,Static,20,10,0,5,5,5000,0.5,0.90441,98.1
531,Random,Random,Static,20,20,0,5,5,5000,0.5,0.867090000000001,47.1
534,Random,Random,Static,20,30,0,5,5,5000,0.5,0.97218,35.3
537,Random,Random,Static,20,40,0,5,5,5000,0.5,0.96091,26.2
600,Random,Random,Static,30,10,0,5,5,5000,0.5,0.52552,57.1
603,Random,Random,Static,30,20,0,5,5,5000,0.5,0.66132,35.9
606,Random,Random,Static,30,30,0,5,5,5000,0.5,0.664413333333334,24.0333333333333
609,Random,Random,Static,30,40,0,5,5,5000,0.5,0.681986666666667,18.55
672,Random,Random,Static,10,10,7,5,8,5000,0.5,1,106.333333333333
675,Random,Random,Static,10,20,18,5,8,5000,0.5,1.00092,212
678,Random,Random,Static,10,30,16,5,8,5000,0.5,1.0008,75.8571428571429
681,Random,Random,Static,10,40,32,5,8,5000,0.5,1.00004,115.625
744,Random,Random,Static,20,10,4,5,8,5000,0.5,1.0001,145.333333333333
747,Random,Random,Static,20,20,10,5,8,5000,0.5,1.0007,100.1
750,Random,Random,Static,20,30,12,5,8,5000,0.5,1.00079,57.9444444444444
753,Random,Random,Static,20,40,18,5,8,5000,0.5,1.0007,48.7272727272727
816,Random,Random,Static,30,10,0,5,8,5000,0.5,0.669066666666667,72.7
819,Random,Random,Static,30,20,6,5,8,5000,0.5,1.00009333333333,75.5714285714286
822,Random,Random,Static,30,30,16,5,8,5000,0.5,1.00026666666667,73
825,Random,Random,Static,30,40,7,5,8,5000,0.5,1.00072666666667,31.4545454545455
