int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
276,Sourced,Random,Static,10,10,3,3,8,5000,0.5,1.00058,152.428571428571
279,Sourced,Random,Static,10,20,7,3,8,5000,0.5,1.0004,78.1538461538462
282,Sourced,Random,Static,10,30,13,3,8,5000,0.5,1.00076,62.1176470588235
285,Sourced,Random,Static,10,40,17,3,8,5000,0.5,1.00052,40.7391304347826
348,Sourced,Random,Static,20,10,0,3,8,5000,0.5,0.83856,91.1
351,Sourced,Random,Static,20,20,0,3,8,5000,0.5,0.80422,43.7
354,Sourced,Random,Static,20,30,0,3,8,5000,0.5,0.79766,28.9333333333333
357,Sourced,Random,Static,20,40,0,3,8,5000,0.5,0.94249,25.575
420,Sourced,Random,Static,30,10,0,3,8,5000,0.5,0.608893333333333,66.3
423,Sourced,Random,Static,30,20,0,3,8,5000,0.5,0.600473333333334,32.65
426,Sourced,Random,Static,30,30,0,3,8,5000,0.5,0.587386666666667,21.3
429,Sourced,Random,Static,30,40,0,3,8,5000,0.5,0.606926666666667,16.525
492,Sourced,Random,Static,10,10,4,5,5,5000,0.5,1.00038,170.5
495,Sourced,Random,Static,10,20,9,5,5,5000,0.5,1.00004,75
498,Sourced,Random,Static,10,30,13,5,5,5000,0.5,1.0006,58
501,Sourced,Random,Static,10,40,15,5,5,5000,0.5,1.00016,42.72
564,Sourced,Random,Static,20,10,0,5,5,5000,0.5,0.58261,63.4
567,Sourced,Random,Static,20,20,0,5,5,5000,0.5,0.97405,53.05
570,Sourced,Random,Static,20,30,1,5,5,5000,0.5,1.00038,37.2068965517241
573,Sourced,Random,Static,20,40,0,5,5,5000,0.5,0.93502,25.4
636,Sourced,Random,Static,30,10,0,5,5,5000,0.5,0.670733333333334,72.9
639,Sourced,Random,Static,30,20,0,5,5,5000,0.5,0.62006,33.75
642,Sourced,Random,Static,30,30,0,5,5,5000,0.5,0.627853333333333,22.8
645,Sourced,Random,Static,30,40,0,5,5,5000,0.5,0.665733333333333,18.1
708,Sourced,Random,Static,10,10,8,5,8,5000,0.5,1.00024,374
711,Sourced,Random,Static,10,20,11,5,8,5000,0.5,1.0004,115.222222222222
714,Sourced,Random,Static,10,30,19,5,8,5000,0.5,1.00072,89.6363636363637
717,Sourced,Random,Static,10,40,25,5,8,5000,0.5,1.00002,63.4666666666667
780,Sourced,Random,Static,20,10,6,5,8,5000,0.5,1.00029,182.75
783,Sourced,Random,Static,20,20,8,5,8,5000,0.5,1.00016,80.3333333333333
786,Sourced,Random,Static,20,30,14,5,8,5000,0.5,1.0009,64.1875
789,Sourced,Random,Static,20,40,12,5,8,5000,0.5,1.00088,38.2857142857143
852,Sourced,Random,Static,30,10,5,5,8,5000,0.5,1.0002,67.2
855,Sourced,Random,Static,30,20,7,5,8,5000,0.5,1.0008,80.2307692307692
858,Sourced,Random,Static,30,30,13,5,8,5000,0.5,1.0004,60.1764705882353
861,Sourced,Random,Static,30,40,14,5,8,5000,0.5,1.00024,41.4615384615385
