int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
832,Sourced,Firefly Algorithm,Dnyamic,30,20,4,5,8,5000,0.5,1,46.125
835,Sourced,Firefly Algorithm,Dnyamic,30,30,2,5,8,5000,0.5,1.00041333333333,34.7142857142857
838,Sourced,Firefly Algorithm,Dnyamic,30,40,9,5,8,5000,0.5,1.00057333333333,29.0967741935484
61,Sourced,Random,Dnyamic,10,10,0,3,5,5000,0.5,0.42776,47
64,Sourced,Random,Dnyamic,10,20,0,3,5,5000,0.5,0.66124,36
67,Sourced,Random,Dnyamic,10,30,0,3,5,5000,0.5,0.7524,27.4
70,Sourced,Random,Dnyamic,10,40,0,3,5,5000,0.5,0.95412,25.875
133,Sourced,Random,Dnyamic,20,10,0,3,5,5000,0.5,0.16658,18.2
136,Sourced,Random,Dnyamic,20,20,0,3,5,5000,0.5,0.16608,9.1
139,Sourced,Random,Dnyamic,20,30,0,3,5,5000,0.5,0.53126,19.2333333333333
142,Sourced,Random,Dnyamic,20,40,0,3,5,5000,0.5,0.53487,14.575
205,Sourced,Random,Dnyamic,30,10,0,3,5,5000,0.5,0.176326666666667,19.3
208,Sourced,Random,Dnyamic,30,20,0,3,5,5000,0.5,0.2545,13.85
211,Sourced,Random,Dnyamic,30,30,0,3,5,5000,0.5,0.170566666666667,6.2
214,Sourced,Random,Dnyamic,30,40,0,3,5,5000,0.5,0.281393333333333,7.7
277,Sourced,Random,Dnyamic,10,10,1,3,8,5000,0.5,1.00036,70.4444444444444
280,Sourced,Random,Dnyamic,10,20,2,3,8,5000,0.5,1.0008,57
283,Sourced,Random,Dnyamic,10,30,4,3,8,5000,0.5,1.00068,33.6153846153846
286,Sourced,Random,Dnyamic,10,40,7,3,8,5000,0.5,1.00038,24.2121212121212
349,Sourced,Random,Dnyamic,20,10,0,3,8,5000,0.5,0.51624,56.1
352,Sourced,Random,Dnyamic,20,20,1,3,8,5000,0.5,1.00032,39.3157894736842
355,Sourced,Random,Dnyamic,20,30,0,3,8,5000,0.5,0.84623,30.7
358,Sourced,Random,Dnyamic,20,40,0,3,8,5000,0.5,0.98177,26.675
421,Sourced,Random,Dnyamic,30,10,0,3,8,5000,0.5,0.3724,40.5
424,Sourced,Random,Dnyamic,30,20,0,3,8,5000,0.5,0.7406,40.2
427,Sourced,Random,Dnyamic,30,30,0,3,8,5000,0.5,0.351273333333333,12.7666666666667
430,Sourced,Random,Dnyamic,30,40,0,3,8,5000,0.5,0.76196,20.7
493,Sourced,Random,Dnyamic,10,10,2,5,5,5000,0.5,1.00024,119.25
496,Sourced,Random,Dnyamic,10,20,4,5,5,5000,0.5,1.00016,67.75
499,Sourced,Random,Dnyamic,10,30,3,5,5,5000,0.5,1.00064,39.8148148148148
502,Sourced,Random,Dnyamic,10,40,8,5,5,5000,0.5,1.00084,33.25
565,Sourced,Random,Dnyamic,20,10,0,5,5,5000,0.5,0.66781,72.7
568,Sourced,Random,Dnyamic,20,20,0,5,5,5000,0.5,0.79164,43.05
571,Sourced,Random,Dnyamic,20,30,0,5,5,5000,0.5,0.77055,27.9333333333333
574,Sourced,Random,Dnyamic,20,40,2,5,5,5000,0.5,1.00014,20.5
637,Sourced,Random,Dnyamic,30,10,0,5,5,5000,0.5,0.28716,31.1
640,Sourced,Random,Dnyamic,30,20,0,5,5,5000,0.5,0.558126666666667,30.3
643,Sourced,Random,Dnyamic,30,30,0,5,5,5000,0.5,0.614893333333333,22.3
646,Sourced,Random,Dnyamic,30,40,0,5,5,5000,0.5,0.587546666666667,15.975
709,Sourced,Random,Dnyamic,10,10,3,5,8,5000,0.5,1.00028,156.142857142857
