int(self),DRONE_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
75,Firefly Algorithm,Static,1,26,0,2,2,1000,1.5,0.6720000000000006,6.923076923076923
76,Firefly Algorithm,Dnyamic,1,26,0,2,2,1000,1.5,0.7300000000000006,7.6923076923076925
77,Firefly Algorithm,Sourced,1,26,0,2,2,1000,1.5,0.39400000000000035,4.5
78,Firefly Algorithm,Static,1,31,0,2,2,1000,1.5,0.7730000000000007,6.548387096774194
79,Firefly Algorithm,Dnyamic,1,31,0,2,2,1000,1.5,0.5270000000000005,4.870967741935484
80,Firefly Algorithm,Sourced,1,31,0,2,2,1000,1.5,0.5490000000000005,5.193548387096774
81,Firefly Algorithm,Static,1,36,0,2,2,1000,1.5,0.5670000000000005,4.416666666666667
82,Firefly Algorithm,Dnyamic,1,36,1,2,2,1000,1.5,1.0030000000000008,5.314285714285714
83,Firefly Algorithm,Sourced,1,36,0,2,2,1000,1.5,0.9940000000000008,7.75
84,Firefly Algorithm,Static,1,41,0,2,2,1000,1.5,0.5510000000000005,3.731707317073171
85,Firefly Algorithm,Dnyamic,1,41,0,2,2,1000,1.5,0.7320000000000007,5.024390243902439
86,Firefly Algorithm,Sourced,1,41,0,2,2,1000,1.5,0.9120000000000008,6.926829268292683
87,Firefly Algorithm,Static,1,46,0,2,2,1000,1.5,0.7840000000000007,4.521739130434782
88,Firefly Algorithm,Dnyamic,1,46,1,2,2,1000,1.5,1.0000000000000009,3.533333333333333
89,Firefly Algorithm,Sourced,1,46,0,2,2,1000,1.5,0.6940000000000006,4.434782608695652
90,Firefly Algorithm,Static,1,1,0,2,2,1000,2.0,0.4390000000000004,125.0
91,Firefly Algorithm,Dnyamic,1,1,0,2,2,1000,2.0,0.13100000000000012,41.0
92,Firefly Algorithm,Sourced,1,1,0,2,2,1000,2.0,0.16400000000000015,42.0
93,Firefly Algorithm,Static,1,6,0,2,2,1000,2.0,0.6110000000000005,27.5
94,Firefly Algorithm,Dnyamic,1,6,0,2,2,1000,2.0,0.3150000000000003,17.5
95,Firefly Algorithm,Sourced,1,6,0,2,2,1000,2.0,0.4800000000000004,22.666666666666668
96,Firefly Algorithm,Static,1,11,0,2,2,1000,2.0,0.6050000000000005,14.636363636363637
97,Firefly Algorithm,Dnyamic,1,11,0,2,2,1000,2.0,0.6460000000000006,16.90909090909091
98,Firefly Algorithm,Sourced,1,11,0,2,2,1000,2.0,0.3370000000000003,10.454545454545455
99,Firefly Algorithm,Static,1,16,0,2,2,1000,2.0,0.5160000000000005,9.125
100,Firefly Algorithm,Dnyamic,1,16,0,2,2,1000,2.0,0.40400000000000036,8.25
101,Firefly Algorithm,Sourced,1,16,0,2,2,1000,2.0,0.5030000000000004,9.375
102,Firefly Algorithm,Static,1,21,0,2,2,1000,2.0,0.6050000000000005,7.666666666666667
103,Firefly Algorithm,Dnyamic,1,21,0,2,2,1000,2.0,0.5770000000000005,7.666666666666667
104,Firefly Algorithm,Sourced,1,21,0,2,2,1000,2.0,0.3300000000000003,5.0476190476190474
105,Firefly Algorithm,Static,1,26,0,2,2,1000,2.0,0.6720000000000006,6.923076923076923
106,Firefly Algorithm,Dnyamic,1,26,0,2,2,1000,2.0,0.7300000000000006,7.6923076923076925
107,Firefly Algorithm,Sourced,1,26,0,2,2,1000,2.0,0.39400000000000035,4.5
108,Firefly Algorithm,Static,1,31,0,2,2,1000,2.0,0.7730000000000007,6.548387096774194
109,Firefly Algorithm,Dnyamic,1,31,0,2,2,1000,2.0,0.37900000000000034,3.6774193548387095
110,Firefly Algorithm,Sourced,1,31,0,2,2,1000,2.0,0.5490000000000005,5.193548387096774
111,Firefly Algorithm,Static,1,36,0,2,2,1000,2.0,0.5670000000000005,4.416666666666667
112,Firefly Algorithm,Dnyamic,1,36,1,2,2,1000,2.0,1.0030000000000008,5.314285714285714
113,Firefly Algorithm,Sourced,1,36,0,2,2,1000,2.0,0.9940000000000008,7.75
114,Firefly Algorithm,Static,1,41,0,2,2,1000,2.0,0.5510000000000005,3.731707317073171
115,Firefly Algorithm,Dnyamic,1,41,0,2,2,1000,2.0,0.7320000000000007,5.024390243902439
116,Firefly Algorithm,Sourced,1,41,0,2,2,1000,2.0,0.9120000000000008,6.926829268292683
117,Firefly Algorithm,Static,1,46,0,2,2,1000,2.0,0.8840000000000008,4.956521739130435
118,Firefly Algorithm,Dnyamic,1,46,1,2,2,1000,2.0,1.0000000000000009,3.533333333333333
119,Firefly Algorithm,Sourced,1,46,0,2,2,1000,2.0,0.6940000000000006,4.434782608695652
120,Firefly Algorithm,Static,1,1,0,2,2,2000,0.5,0.2194999999999947,125.0
121,Firefly Algorithm,Dnyamic,1,1,0,2,2,2000,0.5,0.06549999999999834,41.0
122,Firefly Algorithm,Sourced,1,1,0,2,2,2000,0.5,0.08199999999999807,42.0
123,Firefly Algorithm,Static,1,6,0,2,2,2000,0.5,0.3054999999999928,27.5
124,Firefly Algorithm,Dnyamic,1,6,0,2,2,2000,0.5,0.15749999999999598,17.5
125,Firefly Algorithm,Sourced,1,6,0,2,2,2000,0.5,0.23999999999999422,22.666666666666668
126,Firefly Algorithm,Static,1,11,0,2,2,2000,0.5,0.3024999999999929,14.636363636363637
127,Firefly Algorithm,Dnyamic,1,11,0,2,2,2000,0.5,0.36749999999999083,20.818181818181817
128,Firefly Algorithm,Sourced,1,11,0,2,2,2000,0.5,0.16849999999999565,10.454545454545455
129,Firefly Algorithm,Static,1,16,0,2,2,2000,0.5,0.2579999999999938,9.125
130,Firefly Algorithm,Dnyamic,1,16,0,2,2,2000,0.5,0.20199999999999485,8.25
131,Firefly Algorithm,Sourced,1,16,0,2,2,2000,0.5,0.25149999999999384,9.375
132,Firefly Algorithm,Static,1,21,0,2,2,2000,0.5,0.29299999999999304,7.619047619047619
133,Firefly Algorithm,Dnyamic,1,21,0,2,2,2000,0.5,0.2734999999999934,7.380952380952381
134,Firefly Algorithm,Sourced,1,21,0,2,2,2000,0.5,0.2094999999999947,6.428571428571429
135,Firefly Algorithm,Static,1,26,0,2,2,2000,0.5,0.3359999999999921,6.923076923076923
136,Firefly Algorithm,Dnyamic,1,26,0,2,2,2000,0.5,0.6904999999999881,15.576923076923077
137,Firefly Algorithm,Sourced,1,26,0,2,2,2000,0.5,0.19699999999999518,4.5
138,Firefly Algorithm,Static,1,31,0,2,2,2000,0.5,0.3889999999999909,6.580645161290323
139,Firefly Algorithm,Dnyamic,1,31,0,2,2,2000,0.5,0.26349999999999363,4.870967741935484
140,Firefly Algorithm,Sourced,1,31,0,2,2,2000,0.5,0.4069999999999905,6.903225806451613
141,Firefly Algorithm,Static,1,36,0,2,2,2000,0.5,0.2834999999999932,4.416666666666667
142,Firefly Algorithm,Dnyamic,1,36,0,2,2,2000,0.5,0.8379999999999885,12.88888888888889
143,Firefly Algorithm,Sourced,1,36,0,2,2,2000,0.5,0.371999999999991,5.944444444444445
144,Firefly Algorithm,Static,1,41,0,2,2,2000,0.5,0.2754999999999934,3.731707317073171
145,Firefly Algorithm,Dnyamic,1,41,0,2,2,2000,0.5,0.2509999999999939,3.6097560975609757
146,Firefly Algorithm,Sourced,1,41,0,2,2,2000,0.5,0.4664999999999888,6.439024390243903
147,Firefly Algorithm,Static,1,46,0,2,2,2000,0.5,0.3919999999999908,4.521739130434782
148,Firefly Algorithm,Dnyamic,1,46,0,2,2,2000,0.5,0.37749999999999084,4.760869565217392
149,Firefly Algorithm,Sourced,1,46,0,2,2,2000,0.5,0.34699999999999154,4.434782608695652
150,Firefly Algorithm,Static,1,1,0,2,2,2000,1.0,0.2194999999999947,125.0
151,Firefly Algorithm,Dnyamic,1,1,0,2,2,2000,1.0,0.06549999999999834,41.0
152,Firefly Algorithm,Sourced,1,1,0,2,2,2000,1.0,0.08199999999999807,42.0
153,Firefly Algorithm,Static,1,6,0,2,2,2000,1.0,0.3054999999999928,27.5
154,Firefly Algorithm,Dnyamic,1,6,0,2,2,2000,1.0,0.15749999999999598,17.5
155,Firefly Algorithm,Sourced,1,6,0,2,2,2000,1.0,0.23999999999999422,22.666666666666668
156,Firefly Algorithm,Static,1,11,0,2,2,2000,1.0,0.3024999999999929,14.636363636363637
157,Firefly Algorithm,Dnyamic,1,11,0,2,2,2000,1.0,0.3229999999999922,16.90909090909091
158,Firefly Algorithm,Sourced,1,11,0,2,2,2000,1.0,0.16849999999999565,10.454545454545455
159,Firefly Algorithm,Static,1,16,0,2,2,2000,1.0,0.2579999999999938,9.125
160,Firefly Algorithm,Dnyamic,1,16,0,2,2,2000,1.0,0.20199999999999485,8.25
161,Firefly Algorithm,Sourced,1,16,0,2,2,2000,1.0,0.25149999999999384,9.375
162,Firefly Algorithm,Static,1,21,0,2,2,2000,1.0,0.3024999999999929,7.666666666666667
163,Firefly Algorithm,Dnyamic,1,21,0,2,2,2000,1.0,0.36549999999999105,10.428571428571429
164,Firefly Algorithm,Sourced,1,21,0,2,2,2000,1.0,0.16499999999999582,5.0476190476190474
165,Firefly Algorithm,Static,1,26,0,2,2,2000,1.0,0.3359999999999921,6.923076923076923
